agent-action,agent-action-update,map-update,reward,sum
166,77,62,28,333
172,81,73,29,355
173,88,66,34,361
173,95,67,36,371
181,94,67,34,376
185,96,70,36,387
188,106,69,37,400
188,100,67,44,399
192,106,70,39,407
188,108,95,44,435
185,117,69,40,411
189,106,68,48,411
188,111,70,42,411
196,108,66,47,417
188,113,69,41,411
195,109,68,48,420
195,112,67,41,415
194,111,69,45,419
186,115,70,41,412
197,112,72,50,431
188,119,69,41,417
193,116,72,45,426
192,113,70,42,417
196,110,77,42,425
196,111,70,42,419
191,114,136,44,485
197,111,70,46,424
189,118,68,49,424
196,111,73,42,422
193,116,68,42,419
199,113,71,43,426
196,111,69,42,418
198,118,69,42,427
198,112,67,42,419
197,117,68,43,425
196,115,67,49,427
191,123,67,45,426
197,116,71,43,427
191,122,68,43,424
198,124,72,43,437
198,115,76,43,432
193,119,70,47,429
199,112,70,52,433
196,118,67,43,424
201,115,72,46,434
202,116,67,45,430
200,116,71,43,430
204,113,67,42,426
197,118,69,42,426
203,120,69,48,440
199,119,67,43,428
204,118,72,43,437
201,114,69,42,426
201,121,72,43,437
201,117,69,49,436
198,120,70,44,432
200,112,71,43,426
199,123,220,44,586
201,114,69,48,432
204,121,69,42,436
202,116,68,50,436
202,124,69,44,439
201,118,72,43,434
200,141,70,43,454
201,119,71,63,454
202,114,76,70,462
204,122,67,43,436
201,113,74,47,435
198,113,66,42,419
200,121,70,46,437
203,118,67,49,437
198,120,74,46,438
217,117,72,43,449
204,118,67,44,433
205,138,71,45,459
206,117,73,44,440
207,134,75,51,467
204,122,67,43,436
206,122,73,44,445
200,124,71,44,439
207,126,69,43,445
200,117,69,49,435
207,125,73,46,451
199,115,77,49,440
212,120,70,45,447
197,121,67,43,428
211,117,73,47,448
205,123,68,44,440
212,124,69,43,448
204,115,66,46,431
208,124,68,44,444
207,120,74,42,443
212,117,70,43,442
203,122,68,42,435
214,119,69,47,449
203,121,68,43,435
204,127,69,43,443
203,119,71,44,437
194,132,68,43,437
204,117,73,44,438
208,126,68,42,444
201,121,70,43,435
203,126,70,49,448
205,122,68,46,441
202,121,75,43,441
207,121,71,47,446
207,126,75,48,456
211,118,74,45,448
203,122,73,48,446
207,123,70,47,447
208,130,76,44,458
212,118,68,43,441
207,127,73,44,451
213,120,72,50,455
204,127,72,43,446
205,124,71,44,444
206,125,73,49,453
197,124,69,43,433
206,119,79,43,447
209,121,69,49,448
205,126,73,43,447
201,121,73,44,439
200,121,74,47,442
199,131,368,43,741
212,117,70,48,447
202,122,69,49,442
217,126,72,48,463
206,123,69,52,450
208,128,68,43,447
209,120,72,43,444
214,117,68,51,450
201,123,67,42,433
211,119,72,43,445
204,121,67,43,435
205,122,68,46,441
201,120,72,47,440
216,120,67,42,445
200,124,72,43,439
208,120,68,45,441
201,124,68,43,436
208,123,74,43,448
201,122,69,47,439
204,132,69,43,448
210,118,71,44,443
204,128,70,48,450
206,126,68,47,447
207,129,68,47,451
205,128,68,43,444
210,129,68,48,455
207,117,70,50,444
199,132,67,43,441
208,120,75,43,446
207,126,67,45,445
200,125,67,49,441
212,125,70,43,450
206,118,71,42,437
206,134,68,43,451
208,119,76,44,447
208,131,67,42,448
205,124,70,43,442
207,127,71,48,453
202,124,71,44,441
205,130,72,43,450
218,123,72,49,462
195,133,69,48,445
205,121,71,43,440
205,135,73,50,463
201,125,69,43,438
203,127,73,43,446
204,123,73,45,445
199,129,73,43,444
205,125,77,54,461
208,124,69,44,445
207,123,73,45,448
205,124,76,43,448
212,120,68,44,444
222,139,71,44,476
207,118,73,51,449
222,137,75,51,485
211,124,70,42,447
209,128,80,50,467
219,118,68,49,454
198,133,68,46,445
210,117,75,43,445
204,126,67,43,440
200,123,67,42,432
204,127,71,44,446
206,121,68,43,438
203,128,72,43,446
204,118,68,51,441
199,131,71,43,444
209,120,73,45,447
202,117,75,43,437
198,128,69,45,440
205,117,78,46,446
203,119,69,43,434
208,128,77,44,457
204,120,68,49,441
201,123,74,44,442
211,126,70,43,450
210,123,72,52,457
205,124,68,43,440
205,119,77,48,449
204,122,69,47,442
203,128,73,50,454
210,122,73,46,451
206,117,70,49,442
208,127,69,43,447
206,122,73,49,450
202,119,68,49,438
204,123,70,53,450
207,124,70,48,449
203,123,68,51,445
203,128,72,43,446
203,118,72,53,446
198,127,68,45,438
205,118,73,44,440
205,149,70,46,470
201,143,75,57,476
229,158,82,44,513
206,121,76,44,447
210,145,78,53,486
209,129,70,44,452
213,120,70,44,447
202,121,71,43,437
197,123,68,45,433
218,129,78,50,475
214,127,74,51,466
212,135,73,51,471
215,140,71,43,469
200,128,71,49,448
201,123,71,43,438
205,123,71,43,442
224,142,92,57,515
213,126,70,47,456
216,128,69,43,456
210,123,76,44,453
213,120,73,44,450
208,125,70,44,447
223,124,73,44,464
212,120,70,44,446
203,128,72,44,447
205,121,71,48,445
207,121,70,44,442
211,129,71,47,458
208,119,69,50,446
200,132,71,44,447
207,120,70,43,440
206,130,71,52,459
199,129,68,43,439
207,125,72,44,448
207,119,71,45,442
199,128,69,43,439
211,119,73,45,448
209,127,69,43,448
206,124,69,43,442
207,129,701,48,1085
210,125,71,46,452
203,122,71,44,440
211,119,73,43,446
205,122,69,43,439
214,126,69,45,454
204,123,72,45,444
213,120,72,44,449
