agent-action,agent-action-update,map-update,reward,sum
1102,2192,1223,486,5003
1139,2298,1097,575,5109
1757,2468,1094,621,5940
1296,2341,1082,649,5368
1508,2469,1131,681,5789
1407,2532,1173,693,5805
1403,2588,1561,708,6260
1515,2567,1166,716,5964
1482,2616,1201,732,6031
1479,2601,1201,731,6012
1521,2632,1196,733,6082
1484,2630,1203,743,6060
1556,2620,1217,748,6141
1470,2670,1242,755,6137
1890,2760,1225,761,6636
1463,2651,1207,755,6076
1500,2688,1248,762,6198
1760,2719,1238,767,6484
1489,2720,1231,770,6210
1492,2684,1234,780,6190
1483,2710,2005,770,6968
1659,2646,1231,774,6310
1455,2653,1217,771,6096
1488,2707,1228,783,6206
1467,2674,1211,782,6134
1922,2744,1204,786,6656
1458,2710,1225,775,6168
1668,2638,1213,777,6296
1469,2672,1210,786,6137
1464,2613,1189,775,6041
1477,2689,1197,771,6134
1751,2691,1197,776,6415
1455,2651,1198,769,6073
1770,2694,1199,773,6436
1432,2666,1212,774,6084
1458,2703,1221,774,6156
1464,2642,1197,775,6078
1448,2698,1225,772,6143
1439,2654,1200,776,6069
1458,2703,1220,782,6163
1861,2739,1209,780,6589
1441,2659,1210,781,6091
1443,2707,1242,778,6170
1429,2655,1210,774,6068
1437,2664,1216,768,6085
1431,2662,1211,770,6074
1994,2823,1227,781,6825
1449,2732,2887,780,7848
1450,2686,1214,777,6127
1458,2683,1206,775,6122
1495,3230,1305,778,6808
1919,2798,1201,782,6700
1442,2688,1198,774,6102
1446,2754,1214,775,6189
1448,2748,1228,788,6212
1455,2744,1211,772,6182
1741,3293,1208,796,7038
1504,2704,1632,802,6642
1903,2834,1228,779,6744
1444,2748,1209,773,6174
1440,2702,1197,768,6107
1440,2739,1221,777,6177
1447,2701,1191,777,6116
2039,3247,1197,771,7254
1448,2743,1193,782,6166
1443,2710,1201,778,6132
1496,2706,1196,778,6176
1442,2694,1192,770,6098
1455,2735,1202,767,6159
1479,2760,1212,776,6227
1568,2758,1215,777,6318
1446,2734,1199,780,6159
1498,2720,1205,775,6198
1782,2759,1193,765,6499
1472,2730,1198,777,6177
1853,2756,1190,788,6587
1525,2725,1201,794,6245
1512,2802,1226,797,6337
1519,2853,1293,806,6471
1523,2915,1350,819,6607
1918,2997,1352,829,7096
1535,3018,1355,853,6761
1589,3046,1388,861,6884
1548,3023,1363,853,6787
1581,3004,1371,856,6812
1593,3059,1388,861,6901
1596,3081,1404,875,6956
1634,3081,1402,879,6996
1591,3111,1390,882,6974
1909,3192,1418,886,7405
1918,3150,1403,884,7355
1871,3088,1384,883,7226
1887,3065,1338,876,7166
1601,2977,1298,867,6743
2012,3010,1287,865,7174
1551,3528,1277,855,7211
1668,2944,1282,865,6759
1916,2950,1275,849,6990
1542,2907,1289,844,6582
1958,2940,1252,839,6989
