agent-action,agent-action-update,map-update,reward,sum
110,43,63,3,219
102,46,78,4,230
101,45,66,4,216
102,45,70,4,221
103,45,66,4,218
102,46,67,4,219
103,45,68,4,220
101,45,73,4,223
107,46,68,4,225
104,46,97,5,252
102,46,67,4,219
102,46,70,5,223
102,47,67,5,221
102,46,67,5,220
103,46,68,5,222
102,46,72,5,225
105,47,70,5,227
102,47,69,5,223
105,65,74,5,249
102,46,77,18,243
111,47,73,5,236
102,47,70,5,224
104,47,68,5,224
106,59,76,5,246
110,48,73,5,236
104,46,138,5,293
103,47,69,5,224
105,48,73,6,232
103,51,81,6,241
116,54,83,6,259
105,47,68,5,225
106,47,76,5,234
104,48,70,5,227
104,48,72,5,229
106,47,70,5,228
115,55,85,7,262
113,50,70,5,238
103,47,70,5,225
105,56,72,6,239
112,55,77,5,249
120,55,83,8,266
120,55,78,5,258
109,50,71,5,235
111,51,70,5,237
108,47,71,5,231
107,50,72,6,235
106,49,73,7,235
115,50,74,17,256
110,50,75,5,240
108,46,72,5,231
105,48,71,5,229
112,47,69,5,233
106,47,77,5,235
105,48,72,5,230
107,47,70,5,229
111,48,70,5,234
109,48,72,5,234
106,49,242,5,402
105,48,71,5,229
104,47,69,5,225
104,50,69,5,228
105,51,68,6,230
106,54,74,5,239
103,49,68,5,225
119,59,73,9,260
120,61,75,11,267
110,53,73,13,249
179,66,87,16,348
129,56,78,5,268
110,56,72,5,243
106,54,89,7,256
122,59,82,7,270
117,51,68,5,241
110,49,67,5,231
106,48,72,11,237
111,47,67,5,230
106,48,71,5,230
111,53,73,5,242
112,47,74,5,238
109,50,84,11,254
133,64,78,5,280
110,47,73,5,235
107,48,75,5,235
108,47,75,5,235
121,54,93,7,275
121,52,74,5,252
110,49,75,5,239
107,50,75,5,237
111,51,76,19,257
115,48,72,5,240
110,48,75,5,238
107,49,75,5,236
118,50,75,5,248
107,49,73,5,234
107,47,74,5,233
108,65,76,5,254
116,54,74,5,249
109,48,75,5,237
108,49,76,5,238
118,61,93,7,279
116,48,77,5,246
111,59,83,5,258
122,57,78,5,262
112,59,84,6,261
131,58,71,5,265
108,51,73,5,237
116,48,72,5,241
116,49,73,5,243
109,48,73,5,235
106,49,73,5,233
107,47,72,5,231
111,54,74,5,244
107,51,73,5,236
110,48,73,5,236
111,47,72,14,244
128,56,83,7,274
113,50,77,8,248
122,58,84,5,269
123,59,86,8,276
117,49,71,5,242
106,51,71,5,233
111,50,71,5,237
120,64,83,5,272
108,50,456,5,619
107,48,72,5,232
109,61,75,5,250
107,48,71,5,231
108,48,70,5,231
108,52,71,5,236
109,49,75,5,238
108,49,78,5,240
108,48,76,5,237
108,49,77,5,239
116,49,75,5,245
111,47,76,5,239
110,48,76,5,239
117,49,78,5,249
116,49,72,5,242
106,49,68,5,228
106,51,67,5,229
107,50,67,5,229
110,50,68,5,233
106,49,68,5,228
109,49,69,6,233
110,51,66,5,232
109,53,73,5,240
109,49,71,5,234
107,50,71,5,233
108,49,73,5,235
112,48,72,5,237
108,50,73,5,236
114,47,72,5,238
109,50,73,6,238
106,51,72,5,234
109,48,71,5,233
107,48,73,8,236
111,50,74,7,242
114,52,74,5,245
109,49,67,5,230
106,49,69,5,229
109,59,99,17,284
114,49,79,5,247
119,69,74,5,267
126,52,71,5,254
109,52,77,5,243
120,54,76,5,255
109,50,79,8,246
110,49,66,5,230
108,51,69,5,233
118,59,72,5,254
112,51,68,5,236
111,48,69,5,233
110,50,68,5,233
108,49,73,5,235
114,52,71,5,242
121,65,90,6,282
121,62,89,5,277
125,61,92,5,283
121,57,76,7,261
117,50,76,11,254
117,52,80,5,254
122,57,83,5,267
119,55,78,13,265
122,54,70,5,251
111,56,85,22,274
142,72,92,5,311
122,60,83,5,270
114,51,83,18,266
112,56,78,6,252
112,55,92,5,264
117,56,84,9,266
127,63,89,5,284
124,57,81,6,268
126,80,101,19,326
147,73,103,28,351
158,78,93,5,334
115,54,78,6,253
115,54,76,5,250
115,52,75,5,247
111,53,74,5,243
109,62,80,5,256
127,76,77,5,285
109,55,67,5,236
109,53,70,5,237
125,62,83,7,277
126,56,73,5,260
117,57,79,6,259
119,62,70,5,256
110,51,73,9,243
113,51,72,5,241
114,56,80,5,255
118,59,72,5,254
111,54,91,5,261
121,57,76,5,259
113,71,73,5,262
109,48,70,5,232
117,58,80,8,263
122,55,70,5,252
114,53,87,8,262
125,54,80,6,265
112,52,78,5,247
111,51,92,5,259
115,52,71,5,243
109,50,67,5,231
119,53,69,5,246
107,52,71,7,237
124,59,82,5,270
112,57,79,5,253
118,52,69,5,244
109,52,74,5,240
110,52,75,5,242
117,49,71,5,242
112,52,68,5,237
110,50,71,5,236
124,60,80,5,269
111,52,71,5,239
110,53,72,5,240
113,54,70,5,242
116,49,69,5,239
111,51,70,5,237
112,51,69,5,237
109,51,68,5,233
109,51,68,15,243
123,56,69,5,253
109,53,73,5,240
111,52,68,5,236
115,51,69,5,240
111,50,68,5,234
109,52,70,5,236
110,51,68,5,234
110,49,73,5,237
114,51,69,5,239
113,56,72,5,246
112,53,74,5,244
108,53,74,5,240
113,49,69,5,236
109,51,821,5,986
104,54,74,5,237
106,50,73,5,234
108,50,76,6,240
125,59,83,7,274
119,52,73,5,249
112,50,71,6,239
108,51,73,7,239
112,49,70,5,236
116,62,81,5,264
122,55,95,5,277
126,60,86,7,279
124,57,85,7,273
115,49,69,5,238
111,51,70,5,237
113,51,68,5,237
114,51,69,5,239
108,52,70,5,235
112,49,67,5,233
111,51,68,5,235
120,62,86,6,274
125,61,92,8,286
117,54,76,5,252
113,50,82,11,256
110,52,76,5,243
117,57,88,5,267
132,58,75,5,270
113,62,90,14,279
127,59,98,7,291
124,62,74,5,265
113,53,87,5,258
133,60,90,5,288
123,56,71,5,255
111,59,88,5,263
127,59,81,7,274
114,52,68,5,239
116,66,82,5,269
114,56,90,5,265
124,59,73,5,261
112,50,71,5,238
123,63,81,6,273
117,51,72,5,245
118,62,83,5,268
126,76,75,5,282
110,52,73,5,240
110,51,70,5,236
121,61,81,7,270
117,58,82,8,265
125,61,82,5,273
121,56,72,5,254
112,51,73,5,241
125,59,84,6,274
126,64,84,6,280
121,62,87,7,277
121,55,79,5,260
122,54,78,5,259
115,52,75,5,247
113,56,79,5,253
115,50,74,5,244
111,50,74,5,240
110,51,74,5,240
114,49,74,10,247
111,51,73,5,240
112,49,75,5,241
112,53,72,5,242
113,60,74,5,252
111,53,77,5,246
125,55,70,5,255
110,50,69,5,234
112,53,71,5,241
109,50,73,5,237
111,50,71,6,238
111,53,69,5,238
118,53,71,5,247
111,53,72,5,241
113,51,71,5,240
109,66,73,6,254
111,52,71,5,239
109,53,72,5,239
109,55,74,5,243
110,53,77,5,245
113,51,71,5,240
110,56,74,5,245
110,53,71,5,239
107,51,71,8,237
112,65,71,5,253
109,52,71,5,237
111,52,70,5,238
111,56,71,5,243
109,53,68,5,235
111,50,77,5,243
115,52,76,5,248
112,54,76,5,247
111,52,76,5,244
110,50,76,5,241
112,50,77,5,244
117,51,76,5,249
116,50,76,5,247
112,53,76,5,246
112,52,75,5,244
113,50,72,5,240
111,50,74,5,240
114,50,87,7,258
112,53,87,5,257
113,52,68,5,238
114,51,68,5,238
110,53,68,5,236
111,53,73,5,242
110,51,74,6,241
109,55,70,5,239
110,49,67,5,231
112,57,72,5,246
110,51,67,5,233
111,52,80,5,248
113,52,84,5,254
115,52,80,9,256
113,52,78,5,248
114,49,78,5,246
117,62,82,19,280
124,71,81,15,291
129,70,73,7,279
107,54,68,15,244
110,55,67,5,237
113,52,69,5,239
113,59,68,5,245
110,64,71,9,254
120,51,69,5,245
114,53,68,5,240
108,54,68,5,235
111,50,68,5,234
112,50,72,5,239
120,55,80,5,260
114,49,80,5,248
110,52,88,5,255
113,53,78,5,249
114,50,80,5,249
112,51,81,20,264
116,54,80,5,255
113,75,85,6,279
118,52,76,5,251
112,54,77,5,248
111,57,76,5,249
114,64,71,5,254
114,51,68,5,238
113,50,69,5,237
112,54,70,5,241
110,53,68,5,236
110,52,69,5,236
120,57,75,5,257
109,53,68,5,235
109,54,70,5,238
114,50,69,5,238
111,51,78,5,245
114,51,78,5,248
115,52,80,5,252
130,56,77,5,268
115,55,77,5,252
118,53,78,5,254
112,52,78,5,247
115,73,84,5,277
114,50,77,5,246
112,51,76,5,244
110,54,77,5,246
110,51,78,21,260
112,53,77,5,247
119,50,75,6,250
110,53,76,5,244
113,54,77,5,249
111,53,79,5,248
112,52,75,5,244
111,52,76,22,261
121,53,76,5,255
114,69,79,5,267
116,53,76,5,250
111,52,80,8,251
113,53,75,5,246
112,53,78,5,248
111,53,76,5,245
113,51,83,5,252
114,56,85,9,264
136,54,82,5,277
114,53,88,5,260
116,53,82,5,256
117,50,80,5,252
116,52,81,5,254
119,50,81,5,255
113,50,69,5,237
111,59,72,5,247
112,51,71,5,239
111,56,76,6,249
113,51,78,5,247
111,53,76,5,245
