agent-action,agent-action-update,map-update,reward,sum
18,8,6,2,34
16,7,6,2,31
16,7,6,2,31
17,8,6,2,33
16,8,6,2,32
16,9,6,3,34
17,8,6,3,34
16,8,6,4,34
16,8,6,3,33
16,8,6,3,33
16,9,7,3,35
18,9,6,3,36
16,9,8,3,36
16,9,6,3,34
16,9,6,3,34
17,12,6,5,40
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
16,9,6,3,34
16,9,7,3,35
17,10,6,3,36
16,9,6,3,34
16,9,6,3,34
16,9,6,3,34
16,9,7,3,35
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
16,10,8,5,39
17,10,11,3,41
16,9,6,3,34
18,10,6,3,37
17,9,6,3,35
16,11,7,4,38
16,9,6,3,34
16,9,6,3,34
17,9,6,3,35
17,9,6,3,35
17,11,7,3,38
17,9,6,3,35
17,9,6,3,35
16,10,6,3,35
16,10,6,3,35
18,11,7,3,39
16,9,6,3,34
16,9,6,3,34
16,9,6,3,34
17,10,6,3,36
18,10,7,3,38
17,9,6,3,35
17,9,6,3,35
17,10,6,3,36
18,10,6,3,37
17,10,6,3,36
17,11,6,3,37
17,9,6,3,35
18,10,7,3,38
17,10,7,3,37
17,10,6,3,36
17,10,6,3,36
18,9,6,3,36
17,9,6,3,35
18,10,7,3,38
20,10,6,3,39
17,10,6,3,36
17,10,7,3,37
19,9,6,3,37
18,10,17,3,48
16,9,6,3,34
16,8,6,3,33
17,10,6,4,37
16,10,6,3,35
18,9,6,3,36
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
17,12,6,3,38
17,9,6,3,35
18,9,6,3,36
17,9,6,3,35
18,10,6,3,37
18,10,6,3,37
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
18,10,6,3,37
17,11,6,4,38
18,9,6,3,36
17,9,6,3,35
17,9,6,3,35
18,12,6,3,39
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
17,9,7,3,36
20,10,6,3,39
17,9,6,3,35
18,10,8,3,39
17,9,6,3,35
17,10,7,3,37
18,10,6,3,37
17,9,6,3,35
17,9,6,3,35
17,9,7,3,36
18,10,6,3,37
19,10,6,3,38
19,10,6,3,38
17,9,6,3,35
17,9,6,3,35
19,10,6,3,38
17,9,6,3,35
20,10,8,3,41
17,9,6,3,35
17,10,7,3,37
18,10,6,3,37
18,9,6,3,36
17,10,6,3,36
18,10,6,3,37
17,11,6,3,37
17,10,6,3,36
18,10,6,3,37
17,10,6,3,36
17,10,6,3,36
18,10,6,3,37
17,9,6,3,35
18,9,6,3,36
17,9,6,3,35
17,9,6,5,37
19,10,6,3,38
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
17,9,6,4,36
18,10,6,3,37
17,9,6,3,35
18,10,6,3,37
19,10,6,3,38
17,11,7,3,38
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
18,11,6,3,38
17,9,6,3,35
17,9,6,3,35
17,9,34,3,63
17,11,6,3,37
17,12,7,3,39
17,9,6,3,35
18,9,6,3,36
19,10,6,3,38
19,11,6,3,39
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
17,9,6,4,36
17,10,6,3,36
17,9,6,3,35
17,11,6,3,37
18,9,6,3,36
17,9,7,3,36
18,10,6,3,37
17,9,6,3,35
17,9,6,3,35
17,9,6,5,37
17,11,6,3,37
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
18,10,6,3,37
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
19,10,6,3,38
18,9,6,3,36
17,9,6,3,35
18,10,6,3,37
17,11,7,3,38
18,10,6,3,37
17,9,6,3,35
17,9,6,3,35
18,11,6,3,38
17,11,6,3,37
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
18,10,6,3,37
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
20,10,6,3,39
17,9,6,3,35
19,10,6,3,38
17,10,7,3,37
18,10,6,4,38
18,10,6,3,37
19,10,6,3,38
17,9,6,3,35
17,9,6,3,35
17,10,7,3,37
18,10,6,3,37
17,9,6,3,35
17,9,6,3,35
19,10,6,3,38
19,12,6,3,40
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
17,9,6,3,35
19,10,6,3,38
17,9,7,3,36
17,12,6,3,38
17,9,6,3,35
17,9,7,3,36
18,10,6,3,37
17,9,6,3,35
17,10,6,3,36
17,9,6,3,35
17,10,7,3,37
19,10,6,3,38
18,10,6,3,37
