agent-action,agent-action-update,map-update,agent-reward,step
173.766,158.908,67.65,65.459,731.756
171.724,220.348,75.712,66.343,792.975
133.435,233.603,74.964,66.552,763.438
133.866,164.88,72.422,66.691,691.401
173.462,227.796,71.83,66.802,793.329
133.507,218.72,73.05,67.122,746.151
134.437,230.242,73.597,67.607,763.231
134.232,219.764,71.842,67.199,745.883
189.862,180.854,72.26,66.705,763.83
187.657,168.947,72.592,67.061,752.022
189.184,181.366,77.557,66.41,769.588
203.182,180.172,72.151,67.163,792.599
183.488,171.688,72.004,67.526,761.554
172.173,222.129,72.633,66.934,789.451
194.489,171.409,72.404,67.688,770.72
187.742,166.271,71.06,66.93,746.191
185.699,168.628,71.354,67.126,759.879
187.04,166.139,69.739,66.875,744.407
176.004,243.448,70.588,66.518,812.207
134.875,227.707,73.157,67.899,759.367
135.241,236.57,71.682,66.787,768.7
132.401,225.618,70.407,66.838,749.128
186.046,169.382,72.586,67.587,764.452
189.816,171.021,73.251,67.301,761.287
176.928,169.288,71.926,67.67,752.71
176.908,244.747,81.715,74.982,847.636
148.571,237.646,71.397,67.558,803.726
191.816,190.504,71.586,67.335,774.06
200.797,170.402,71.002,67.36,765.827
183.557,185.967,71.703,68.477,774.359
195.241,170.711,71.587,67.425,762.013
171.653,230.089,72.964,69.279,802.182
197.69,173.543,71.656,68.467,768.401
183.768,169.42,70.198,67.209,745.851
190.177,154.032,65.494,62.169,715.807
160.236,217.87,66.097,62.389,742.012
182.253,154.331,67.199,61.502,699.829
174.968,153.702,66.023,61.539,691.623
179.308,159.62,66.843,63.173,703.286
169.158,153.864,65.064,60.966,680.303
163.172,223.435,66.162,61.136,754.936
123.485,215.358,66.665,61.858,701.895
178.088,152.68,68.176,62.048,693.247
179.519,153.915,70.105,63.935,701.519
174.328,152.675,65.595,64.508,694.753
168.656,154.034,72.392,62.181,689.762
160.887,216.072,66.828,60.918,738.977
181.223,153.961,65.106,60.328,694.903
172.489,153.473,65.826,60.241,687.535
167.302,159.98,66.187,60.715,688.08
160.337,213.74,67.543,61.829,740.626
178.077,152.194,68.501,62.3,694.425
175.608,153.592,68.869,62.371,703.789
174.265,171.777,80.369,72.927,752.55
207.377,167.496,75.658,70.344,774.622
