agent-action,agent-action-update,map-update,agent-reward,step
191.14,187.211,87.564,84.373,832.65
193.89,237.983,92.105,86.512,931.158
153.357,245.732,94.899,86.16,865.955
153.614,192.499,93.51,85.274,812.533
191.253,252.769,93.906,86.033,922.305
153.33,250.049,91.491,86.017,875.21
158.194,257.068,91.295,85.079,876.493
152.809,255.852,90.539,85.176,872.199
152.363,256.608,93.343,85.389,877.492
152.471,253.645,87.992,84.924,862.997
152.833,260.326,94.884,84.136,878.312
153.149,252.769,90.834,84.87,868.982
152.25,253.038,91.281,84.633,867.046
160.214,255.393,89.705,84.399,876.681
152.741,254.602,88.781,84.56,867.815
154.954,272.768,98.841,87.738,908.293
153.873,255.073,89.621,85.639,871.04
210.246,196.669,91.776,85.775,872.401
205.018,197.273,88.573,84.566,861.441
201.583,197.039,90.263,85.384,863.489
194.7,256.517,90.281,84.74,911.509
153.519,256.578,89.045,86.746,874.649
153.58,258.581,88.82,84.775,871.378
216.067,195.227,88.373,85.089,870.637
216.166,196.083,89.689,85.16,873.138
207.335,196.537,88.667,84.898,861.945
201.51,200.818,88.753,85.125,862.442
198.961,293.442,97.442,87.82,968.873
165.602,292.661,91.165,86.336,937.23
153.285,257.422,90.044,85.34,873.112
151.484,259.171,89.852,87.177,874.679
208.42,198.142,90.791,85.565,867.677
206.443,196.246,87.652,85.738,861.876
198.124,197.454,89.901,86.456,858.594
191.56,298.287,89.161,85.973,958.169
213.029,199.865,95.994,94.874,895.658
224.023,209.638,98.864,94.672,924.693
219.108,212.36,96.762,93.965,914.307
203.228,196.387,89.974,93.31,876.266
222.306,197.23,86.797,90.11,923.098
211.864,199.05,88.586,85.7,870.311
205.113,197.41,87.558,85.448,861.414
204.978,197.118,88.76,85.427,862.243
189.694,265.606,97.583,94.229,945.217
211.026,198.53,88.928,86.81,872.062
203.61,202.348,97.098,84.661,873.833
196.001,196.887,87.896,84.411,856.394
190.433,254.738,88.655,85.08,906.537
211.3,196.309,88.684,84.695,865.293
208.469,215.884,88.789,85.062,898.169
204.376,196.243,88.098,85.062,862.197
198.987,200.036,89.913,84.997,861.689
191.089,257.819,91.316,87.428,918.103
155.202,257.636,90.146,85.486,875.139
213.225,198.274,88.87,86.096,868.299
204.794,196.39,87.47,86.58,863.621
208.636,204.211,88.873,86.419,877.265
196.108,294.732,95.651,86.136,967.676
151.269,260.94,88.157,85.834,874.933
212.633,197.178,88.662,85.517,870.168
204.553,220.438,98.532,94.536,920.438
227.439,211.233,95.6,93.331,931.932
196.017,268.252,88.528,92.44,942.569
171.727,260.322,86.605,85.917,898.826
153.823,259.264,89.898,88.489,878.529
213.493,195.808,87.989,85.705,867.143
208.21,197.775,88.45,85.874,864.905
210.18,197.751,86.405,85.841,865.835
201.941,197.897,88.699,85.519,859.563
193.133,262.281,88.596,85.792,916.51
151.031,259.099,88.518,86.22,870.377
150.119,259.174,89.029,86.143,871.009
207.865,198.855,87.84,86.024,865.223
202.409,198.632,88.997,85.844,861.565
201.766,197.342,86.826,86.156,857.321
192.918,258.802,88.68,86.017,913.189
211.117,199.421,88.538,85.456,869.662
206.867,196.826,88.248,85.605,863.148
200.114,197.686,85.865,86.662,853.368
195.989,262.848,87.13,85.761,915.284
150.859,260.598,90.777,87.222,877.155
153.971,267.333,89.374,85.392,895.227
212.205,204.675,91.317,91.789,892.795
226.159,209.657,93.789,91.364,925.103
225.637,209.315,93.912,90.005,924.136
218.278,218.914,94.204,91.255,929.167
201.978,199.82,87.956,87.496,901.193
211.603,199.673,89.341,85.231,874.849
202.844,200.037,88.63,97.167,882.508
199.246,200.159,92.653,85.806,865.312
191.781,259.293,87.571,88.435,914.16
210.442,197.67,88.179,85.673,868.521
206.058,198.737,87.902,90.225,876.385
227.48,197.63,88.333,85.824,888.875
220.676,259.873,88.145,85.651,946.392
213.473,197.175,88.935,85.434,868.043
208.381,220.427,90.861,86.337,905.339
204.773,218.47,97.01,89.787,906.456
